Row_ID,Order_ID,Order_Date,Order_Priority,Order_Quantity,Sales,Discount,Ship_Mode,Profit,Unit_Price,Shipping_Cost,Customer_Name,Province,Region,Customer_Segment,Product_Category,Product_Sub_Category,Product_Name,Product_Container,Product_Base_Margin,Ship_Date,Status
51,294,2010-07-15,Medium,35,6375.2800000000,0.0600000000,Regular Air,489.0200000000,193.1700000000,19.9900000000,Sanjit Chand,British Columbia,West,Home Office,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files,Small Box,0.7100000000,2010-07-16,Not Returned
52,322,2012-03-18,Critical,20,2634.8555000000,0.0800000000,Regular Air,257.7600000000,155.9900000000,8.0800000000,Giulietta Weimer,British Columbia,West,Corporate,Technology,Telephones and Communication,I888 World Phone,Small Box,0.6000000000,2012-03-20,Not Returned
53,322,2012-03-18,Critical,46,281.0000000000,0.1000000000,Regular Air,-291.5900000000,6.4800000000,10.0500000000,Giulietta Weimer,British Columbia,West,Corporate,Office Supplies,Paper,Xerox 1997,Small Box,0.3700000000,2012-03-20,Not Returned
54,323,2009-03-25,Critical,20,108.0900000000,0.0700000000,Regular Air,25.7600000000,5.6800000000,1.3900000000,Dario Medina,Yukon,Yukon,Small Business,Office Supplies,Envelopes,Staples Standard Envelopes,Small Box,0.3800000000,2009-03-27,Not Returned
55,323,2009-03-25,Critical,2,55.3400000000,0.0600000000,Regular Air,-31.2400000000,22.8400000000,11.5400000000,Dario Medina,Yukon,Yukon,Small Business,Office Supplies,Paper,Xerox 1964,Small Box,0.3900000000,2009-03-27,Not Returned
56,324,2012-03-19,Critical,25,3872.6340000000,0.0200000000,Regular Air,667.3300000000,179.9900000000,13.9900000000,Frank Gastineau,Saskachewan,Prarie,Small Business,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Medium Box,0.5700000000,2012-03-21,Returned
57,325,2010-10-16,Low,9,884.1275000000,0.0600000000,Regular Air,-178.7100000000,115.9900000000,4.2300000000,Craig Yedwab,Nova Scotia,Atlantic,Corporate,Technology,Telephones and Communication,282,Small Box,0.5600000000,2010-10-20,Not Returned
58,326,2011-06-03,High,34,218.2700000000,0.0300000000,Regular Air,-44.1400000000,5.9900000000,4.9200000000,Michelle Tran,Quebec,Quebec,Consumer,Office Supplies,Binders and Binder Accessories,"DXL™ Angle-View Binders with Locking Rings, Black",Small Box,0.3800000000,2011-06-04,Not Returned
59,326,2011-06-03,High,17,100.9500000000,0.0500000000,Regular Air,-21.3000000000,5.8100000000,3.3700000000,Michelle Tran,Quebec,Quebec,Consumer,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head",Wrap Bag,0.5400000000,2011-06-04,Not Returned
60,353,2010-12-30,Low,21,46.9400000000,0.0200000000,Regular Air,3.8800000000,2.2100000000,1.0000000000,Dean Percer,Yukon,Yukon,Home Office,Office Supplies,Pens & Art Supplies,"Quartet Alpha® White Chalk, 12/Pack",Wrap Bag,0.3800000000,2011-04-01,Not Returned
61,355,2009-06-13,Low,16,1239.6315000000,0.0000000000,Regular Air,-172.5500000000,85.9900000000,0.9900000000,Henry MacAllister,Ontario,Ontario,Small Business,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.8500000000,2009-06-18,Not Returned
62,358,2010-09-19,High,33,1640.9000000000,0.0200000000,Delivery Truck,-1348.0600000000,48.5800000000,54.1100000000,Ricardo Block,Alberta,West,Corporate,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Jumbo Box,0.6900000000,2010-09-21,Not Returned
63,358,2010-09-19,High,33,1235.8700000000,0.0700000000,Regular Air,269.2700000000,39.4800000000,1.9900000000,Ricardo Block,Alberta,West,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.5400000000,2010-09-19,Not Returned
64,359,2009-12-18,Medium,30,3659.6600000000,0.0800000000,Delivery Truck,-500.3800000000,124.4900000000,51.9400000000,Cari Sayre,Alberta,West,Corporate,Furniture,Tables,Bevis 36 x 72 Conference Tables,Jumbo Box,0.6300000000,2009-12-19,Returned
65,384,2012-03-02,Low,50,7666.0400000000,0.0200000000,Delivery Truck,-1820.8400000000,146.0500000000,80.2000000000,Sonia Cooley,Alberta,West,Corporate,Furniture,Tables,BPI Conference Tables,Jumbo Box,0.7100000000,2012-03-09,Not Returned
66,386,2011-01-24,High,4,14.9600000000,0.0200000000,Regular Air,-0.0300000000,3.6900000000,0.5000000000,Tracy Poddar,Ontario,Ontario,Corporate,Office Supplies,Labels,Avery 501,Small Box,0.3800000000,2011-01-26,Not Returned
67,386,2011-01-24,High,4,15.6900000000,0.0900000000,Regular Air,-1.5900000000,3.8500000000,0.7000000000,Tracy Poddar,Ontario,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Wrap Bag,0.4400000000,2011-01-26,Not Returned
68,388,2012-12-15,Not Specified,46,517.9300000000,0.0600000000,Regular Air,-94.7300000000,11.7000000000,6.9600000000,Jennifer Halladay,Ontario,Ontario,Home Office,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Medium Box,0.5000000000,2012-12-18,Not Returned
69,416,2010-09-26,Low,20,1156.6715000000,0.0100000000,Express Air,88.5200000000,65.9900000000,7.6900000000,Stuart Calhoun,Ontario,Ontario,Consumer,Technology,Telephones and Communication,5190,Small Box,0.5900000000,2010-10-01,Not Returned
70,417,2009-02-05,Medium,39,15260.7800000000,0.0700000000,Delivery Truck,8734.8800000000,500.9800000000,28.1400000000,Robert Barroso,Yukon,Yukon,Small Business,Technology,Office Machines,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Jumbo Drum,0.3800000000,2009-02-06,Not Returned
71,417,2009-02-05,Medium,3,540.4100000000,0.1000000000,Regular Air,-170.9800000000,178.4700000000,19.9900000000,Robert Barroso,Yukon,Yukon,Small Business,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand",Small Box,0.5500000000,2009-02-07,Not Returned
72,420,2011-10-30,Not Specified,8,43.2900000000,0.0900000000,Regular Air,-20.6900000000,4.9800000000,4.8600000000,Tony Sayre,Alberta,West,Small Business,Office Supplies,Paper,Xerox 190,Small Box,0.3800000000,2011-10-30,Not Returned
73,420,2011-10-30,Not Specified,6,41.7000000000,0.0300000000,Regular Air,-14.5600000000,5.7800000000,5.3700000000,Tony Sayre,Alberta,West,Small Business,Office Supplies,Paper,Xerox 1950,Small Box,0.3600000000,2011-11-01,Not Returned
74,448,2011-08-20,Medium,22,1162.4005000000,0.0900000000,Regular Air,-284.6300000000,65.9900000000,19.9900000000,Brad Thomas,Yukon,Yukon,Corporate,Technology,Telephones and Communication,iDENi80s,Small Box,0.5900000000,2011-08-22,Not Returned
75,449,2011-07-19,High,45,356.7000000000,0.0200000000,Regular Air,-48.9700000000,7.3800000000,5.2100000000,Candace McMahon,Ontario,Ontario,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.5600000000,2011-07-21,Not Returned
76,450,2011-03-04,Not Specified,29,1000.7800000000,0.0500000000,Express Air,109.3300000000,34.5800000000,8.9900000000,Matt Collins,British Columbia,West,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Small Pack,0.5600000000,2011-03-05,Not Returned
77,450,2011-03-04,Not Specified,35,543.7200000000,0.0500000000,Regular Air,-211.1300000000,15.7000000000,11.2500000000,Matt Collins,British Columbia,West,Consumer,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6000000000,2011-03-06,Not Returned
78,454,2011-12-26,Low,42,234.2000000000,0.0900000000,Regular Air,56.2200000000,6.0800000000,1.8200000000,Darrin Martin,Ontario,Ontario,Small Business,Office Supplies,Rubber Bands,Staples Bulk Pack Metal Binder Clips,Wrap Bag,0.3500000000,2011-12-28,Not Returned
79,481,2012-10-07,High,44,4509.3775000000,0.0100000000,Regular Air,1426.2600000000,115.9900000000,5.2600000000,Art Foster,British Columbia,West,Home Office,Technology,Telephones and Communication,636,Small Box,0.5700000000,2012-10-09,Not Returned
80,483,2011-07-10,High,30,4965.7595000000,0.0800000000,Regular Air,1198.9700000000,195.9900000000,3.9900000000,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.5800000000,2011-07-12,Not Returned
81,487,2012-08-17,Critical,19,210.4000000000,0.0700000000,Regular Air,-18.9600000000,10.8900000000,4.5000000000,Valerie Dominguez,Manitoba,Prarie,Corporate,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Small Box,0.5900000000,2012-08-18,Not Returned
82,512,2011-05-19,Low,6,1309.5300000000,0.0600000000,Regular Air,19.1800000000,218.0800000000,18.0600000000,Sam Craven,Saskachewan,Prarie,Home Office,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.5700000000,2011-05-19,Not Returned
83,512,2011-05-19,Low,48,806.3700000000,0.0100000000,Express Air,-166.4000000000,15.4200000000,10.6800000000,Sam Craven,Saskachewan,Prarie,Home Office,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.5800000000,2011-05-21,Not Returned
84,513,2011-04-30,High,33,5437.9200000000,0.0000000000,Delivery Truck,-684.5700000000,150.8900000000,60.2000000000,Arthur Prichep,Ontario,Ontario,Home Office,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy",Jumbo Drum,0.7700000000,2011-04-30,Not Returned
85,515,2010-08-28,Not Specified,19,394.2700000000,0.0800000000,Regular Air,30.9400000000,21.7800000000,5.9400000000,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5000000000,2010-08-30,Not Returned
86,515,2010-08-28,Not Specified,21,146.6900000000,0.0500000000,Regular Air,4.4300000000,6.6400000000,4.9500000000,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.3700000000,2010-08-30,Not Returned
87,548,2009-09-20,Critical,41,129.4900000000,0.0400000000,Regular Air,36.0200000000,3.0800000000,0.9900000000,Sung Chung,Saskachewan,Prarie,Home Office,Office Supplies,Labels,Avery 481,Small Box,0.3700000000,2009-09-21,Not Returned
88,548,2009-09-20,Critical,29,202.9500000000,0.0200000000,Regular Air,-50.6400000000,6.4800000000,5.9000000000,Sung Chung,Saskachewan,Prarie,Home Office,Office Supplies,Paper,Xerox 1976,Small Box,0.3700000000,2009-09-21,Not Returned
89,548,2009-09-20,Critical,26,2753.1925000000,0.0400000000,Regular Air,510.4900000000,125.9900000000,4.2000000000,Sung Chung,Saskachewan,Prarie,Home Office,Technology,Telephones and Communication,V3682,Small Box,0.5900000000,2009-09-22,Not Returned
90,549,2012-07-12,Critical,13,70.2400000000,0.0300000000,Regular Air,-59.7500000000,4.9800000000,7.4400000000,Ken Brennan,Ontario,Ontario,Consumer,Office Supplies,Paper,Xerox 1922,Small Box,0.3600000000,2012-07-13,Not Returned
91,549,2012-07-12,Critical,5,40.7500000000,0.0500000000,Regular Air,-27.5700000000,6.4800000000,8.7400000000,Ken Brennan,Ontario,Ontario,Consumer,Office Supplies,Paper,Xerox 1984,Small Box,0.3600000000,2012-07-13,Not Returned
92,549,2012-07-12,Critical,30,1150.8800000000,0.0500000000,Express Air,-911.5600000000,38.9400000000,35.0000000000,Ken Brennan,Ontario,Ontario,Consumer,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8000000000,2012-07-12,Not Returned
93,610,2011-08-01,Critical,38,283.6500000000,0.0200000000,Express Air,-29.2100000000,6.6800000000,5.4100000000,Joe Elijah,Manitoba,Prarie,Home Office,Office Supplies,Paper,Xerox 195,Small Box,0.3700000000,2011-08-03,Not Returned
94,611,2010-01-26,Critical,47,840.0400000000,0.0400000000,Regular Air,-131.2700000000,17.7000000000,9.4700000000,Arthur Prichep,Ontario,Ontario,Home Office,Office Supplies,Storage & Organization,Portfile® Personal File Boxes,Small Box,0.5900000000,2010-01-28,Not Returned
95,612,2012-10-20,Medium,50,262.8700000000,0.1000000000,Regular Air,-166.2900000000,5.2800000000,6.2600000000,Sheri Gordon,Manitoba,Prarie,Corporate,Office Supplies,Paper,Xerox 1928,Small Box,0.4000000000,2012-10-22,Returned
96,612,2012-10-20,Medium,43,2531.0875000000,0.0100000000,Regular Air,881.6800000000,65.9900000000,2.5000000000,Sheri Gordon,Manitoba,Prarie,Corporate,Technology,Telephones and Communication,6190,Small Box,0.5500000000,2012-10-22,Returned
97,613,2011-06-17,High,12,93.5400000000,0.0300000000,Regular Air,-54.0400000000,7.3000000000,7.7200000000,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.3800000000,2011-06-17,Not Returned
98,613,2011-06-17,High,22,905.0800000000,0.0900000000,Regular Air,127.7000000000,42.7600000000,6.2200000000,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,0.0000000000,2011-06-18,Not Returned
